ID (empty = will be removed in conversion),Name,Beschreibung,Name,Beschreibung,Thema,Zielgruppe (löschen?),Veröffentlichungsdatum (Date Published),Aktualisierungsdatum (Date Modified),Sprache (ISO 639-1),Website of service,Beschrieben bei (described at URL),Betreut durch (maintained by),Urheber,Verwendet von (used by),Quellcode Repositorium,educationalLevel,Schnittstelle / API Dokumentation,Lizenz,Datenmodell (complies with),Dateiformate,Downloadlink ttl,Downloadlink json,Downloadlink XML,Downloadlink,"DUPLIKATSPALTE (ZUM GENERIEREN, SPÄTER LÖSCHEN)",rawVocab,Type,Schlagworte,Notizen
identifier,title,description,title.en,description.en,about,audience,issued,modified,language,url,described_at,maintained_by,creator,used_by,repo,educationalLevel,endpointUrl,license,complies_with,format,contentUrlTTL,contentUrlJSON,contentUrlXML,contentUrlPDF,,rawVocab,type,keywords,
http://purl.org/dc/terms/identifier,http://purl.org/dc/terms/title,http://purl.org/dc/terms/description,http://purl.org/dc/terms/title,http://purl.org/dc/terms/description,https://schema.org/about,http://purl.org/dc/terms/audience,http://purl.org/dc/terms/issued,http://purl.org/dc/terms/modified,http://purl.org/dc/terms/language,https://schema.org/url,http://www.wikidata.org/prop/direct/P973,https://www.wikidata.org/wiki/Property:P126,http://purl.org/dc/terms/creator,http://www.wikidata.org/prop/direct/P1535,http://www.wikidata.org/prop/direct/P1324,https://schema.org/educationalLevel,https://www.w3.org/ns/dcat#endpointURL,http://purl.org/dc/terms/license,http://www.wikidata.org/prop/direct/P5009,http://purl.org/dc/terms/format,https://schema.org/contentUrl,https://schema.org/contentUrl,https://schema.org/contentUrl,https://schema.org/contentUrl,,https://eduvocs/rawVocab,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://schema.org/keywords,
1,Schulfächer,Werteliste von Fächern im Schulbereich.,School subjects,List of values ​​for subjects in school.,Fach- und Themenzuordnung,,2021-03-03,,de,,http://w3id.org/kim/schulfaecher/,DINI-AG-KIM,,,https://github.com/dini-ag-kim/schulfaecher,Schule,,,SKOS,text/turtle,https://raw.githubusercontent.com/dini-ag-kim/schulfaecher/refs/heads/main/schulfaecher.ttl,https://w3id.org/kim/schulfaecher/index.json,,,http://w3id.org/kim/schulfaecher/,,http://www.wikidata.org/entity/Q1469824,,
2,Schulfächer,Werteliste von Fächern im Schulbereich.,School subjects,List of values ​​for subjects in school.,Fach- und Themenzuordnung,,2020-04-08,,de,,http://w3id.org/openeduhub/vocabs/discipline/,WirLernenOnline,,,https://github.com/openeduhub/oeh-metadata-vocabs,Schule,,,SKOS,text/turtle,https://raw.githubusercontent.com/openeduhub/oeh-metadata-vocabs/refs/heads/master/discipline.ttl,https://w3id.org/openeduhub/vocabs/discipline/index.json,,,http://w3id.org/openeduhub/vocabs/discipline/,,http://www.wikidata.org/entity/Q1469825,,
,Schulfächer,Keine Beschreibung verfügbar.,School subjects,No description available.,Fach- und Themenzuordnung,,,,de,,https://vocabs.sodix.de/index.html,FWU,,,,Schule,,,,,,,,,https://vocabs.sodix.de/index.html,"Arbeit und Beruf
Bildende Kunst
Biologie
Chemie
Deutsch
Deutsch als Zweitsprache
Englisch
Französisch
Fremdsprachen
Geographie
Geschichte
Gesellschaft
Informatik
Latein
Mathematik
Medien
Musik
Naturwissenschaft und Technik
Niederdeutsch
Philosophie
Physik
Politik/Gesellschaft/Wirtschaft
Religion
Sachunterricht
Spanisch
Sport
Theater",http://www.wikidata.org/entity/Q1469826,,
4.1,Schulfächer,Fächer und Themen bei digital learning tools.,School subjects,Subjects and topics in digital learning tools.,Fach- und Themenzuordnung,,,,de,,https://digitallearningtools.de/tools,Digital Learning Tools,,,https://github.com/digital-learning-lab/webplattform/blob/master/dll/content/models.py,Schule,https://digitallearningtools.de/api/subjects,,Web-API,application/json,,https://digitallearningtools.de/api/subjects?format=json,,,https://digitallearningtools.de/tools,,http://www.wikidata.org/entity/Q1469827,,kein SKOS Vokabular
4.2,Kompetenzen in der digitalen Welt (KMK),Kompetenzen im digital learning lab.,Competencies in the digital world (KMK),Competencies in the digital learning lab.,digitalisierungsbezogene Kompetenzen,,,,de,,https://digitallearninglab.de/,Digital Learning Lab,,,https://github.com/digital-learning-lab/webplattform/blob/master/dll/content/models.py,Schule,https://digitallearninglab.de/api/competences,,Web-API,application/json,,https://digitallearninglab.de/api/competences?format=json,,,https://digitallearninglab.de/,"1. Suchen, Verarbeiten & Aufbewahren
2. Kommunizieren & Kooperieren
3. Produzieren & Präsentieren
4. Schützen & sicher Agieren
5. Problemlösen & Handeln
6. Analysieren & Reflektieren",http://www.wikidata.org/entity/Q1469827,,kein SKOS Vokabular
5,EUN Fächer Werte,Dieses Wörterverzeichnis ist eine Unterliste des LRE Thesaurus.,EUN subjects values,This dictionary is a sublist of the LRE Thesaurus.,Fach- und Themenzuordnung,,,,de,,http://europeanschoolnet-vbe.lexaurus.net/vbe/browse,European Schoolnet Vocabulary Bank for Education (VBE),,,,Schule,http://europeanschoolnet-vbe.lexaurus.net/vbe/api,,SKOS,"application/xml, application/json",,http://europeanschoolnet-vbe.lexaurus.net/vbe/linkeddata/vocab/EUN/EUN.subjectLREValues/topterms.json,http://europeanschoolnet-vbe.lexaurus.net/vbe/linkeddata/vocab/EUN/EUN.subjectLREValues/topterms.skos,,http://europeanschoolnet-vbe.lexaurus.net/vbe/browse,,http://www.wikidata.org/entity/Q1469828,,kein SKOS Vokabular; noch mit aufnehmen oder veraltet?;
6.1,Verzeichnis der Ausbildungsberufe 2023,"Das Verzeichnis führt alle 327 anerkannten Ausbildungsberufe in Industrie und Handwerk, im öffentlichen Dienst, in der Hauswirtschaft, der Landwirtschaft, der Seeschifffahrt und in den freien Berufen auf. Zum Ausbildungsbeginn 2022 traten zwei neue Berufe – Binnenschifffahrtskapitän/-in und Fachkraft Küche – und zwölf modernisierte Ausbildungsberufe in Kraft. Zu allen Berufen sind hier u.a. Ausbildungsdauer, Rechtsgrundlagen, Wahlqualifikationen oder Schwerpunkte sowie die Zuordnung zum Deutschen Qualifikationsrahmen (DQR) verzeichnet. Der statistische Teil liefert Angaben zur Anzahl und zur quantitativen Entwicklung der Ausbildungsberufe sowie zur Zahl der Auszubildenden seit 1970. Das Verzeichnis wird seit 1977 vom Bundesinstitut für Berufsbildung herausgegeben und erscheint jährlich. ",Directory of training occupations 2023,"The directory lists all 327 recognized training occupations in industry and crafts, in the public service, in housekeeping, agriculture, shipping and in the freelance professions. At the start of training in 2022, two new professions – inland waterway captain and kitchen specialist – and twelve modernized training professions came into force. For all professions, the duration of training, legal basis, elective qualifications or focal points as well as the assignment to the German Qualifications Framework (DQR) are listed here. The statistical part provides information on the number and quantitative development of the training occupations as well as the number of trainees since 1970. The directory has been published by the Federal Institute for Vocational Training since 1977 and is published annually. ",Fach- und Themenzuordnung,,2023-03-01,,de,,https://www.bibb.de/dienst/publikationen/de/19128,Bundesinstitut für Berufsbildung (BIBB),,,,Ausbildung,,,,application/pdf,,,,https://www.bibb.de/dienst/publikationen/de/download/19128,https://www.bibb.de/dienst/publikationen/de/19128,,http://www.wikidata.org/entity/Q1469829,,kein SKOS Vokabular
6.2,Verzeichnis der Ausbildungsberufe 2024,"Das Verzeichnis führt alle 328 anerkannten Ausbildungsberufe in Industrie und Handwerk, im öffentlichen Dienst, in der Hauswirtschaft, der Landwirtschaft, der Seeschifffahrt und in den freien Berufen auf. Zum Ausbildungsbeginn 2023 traten ein neuer Beruf – Gestalter/-in für immersive Medien – und fünf modernisierte Ausbildungsberufe in Kraft. Zu allen Berufen sind u.a. Ausbildungsdauer, Rechtsgrundlagen, Schwerpunkte, Fachrichtungen, Wahlqualifikationen sowie die Zuordnung zum Deutschen Qualifikationsrahmen (DQR) aufgeführt. Der statistische Teil liefert Angaben zur Anzahl und zur quantitativen Entwicklung der Ausbildungsberufe sowie zur Zahl der Auszubildenden seit 1970. Das Verzeichnis wird seit 1977 vom Bundesinstitut für Berufsbildung herausgegeben und erscheint jährlich.",Directory of training occupations 2024,"The directory lists all 328 recognized training occupations in industry and crafts, in the public service, in housekeeping, agriculture, shipping and in the freelance professions. At the start of training in 2023, a new profession – designer for immersive media – and five modernized training professions came into force. For all professions, the duration of training, legal basis, focus, subject areas, elective qualifications and assignment to the German Qualifications Framework (DQR) are listed. The statistical part provides information on the number and quantitative development of the training occupations as well as the number of trainees since 1970. The directory has been published by the Federal Institute for Vocational Training since 1977 and is published annually.",Fach- und Themenzuordnung,,2024-02-01,,de,,https://www.bibb.de/dienst/publikationen/de/19757,Bundesinstitut für Berufsbildung (BIBB),,,,Ausbildung,,,,application/pdf,,,,https://www.bibb.de/dienst/publikationen/de/download/19757,https://www.bibb.de/dienst/publikationen/de/19128,,http://www.wikidata.org/entity/Q1469829,,kein SKOS Vokabular
